experiment_id,model_config,stage,input_tokens,output_tokens,latency_ms,dsl_errors,render_errors,type_error_count,reference_error_count,cycle_detected,regenerated,runtime_error,timestamp
"exp_1765620460044","A","1","4079","1200","9101","","","0","0","false","false","false","Sat Dec 13 2025 19:11:16 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1557","869","5092","","","0","0","false","false","false","Sat Dec 13 2025 19:11:22 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2420","1645","9384","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:11:31 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4077","1125","10471","","","0","0","false","false","false","Sat Dec 13 2025 19:11:41 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1689","987","6137","","","0","0","false","false","false","Sat Dec 13 2025 19:11:45 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4080","1147","9245","","","0","0","false","false","false","Sat Dec 13 2025 19:12:03 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1658","808","5118","","","0","0","false","false","false","Sat Dec 13 2025 19:12:11 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2598","1553","8110","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:12:19 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","1","4080","1123","9140","","","0","0","false","false","false","Sat Dec 13 2025 19:12:28 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2394","1200","6591","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:12:38 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","2","1743","917","6061","","","0","0","false","false","false","Sat Dec 13 2025 19:12:53 GMT+0900 (Japan Standard Time)"
"exp_1765620460044","A","3","2805","1512","10458","","["VALIDATION_ERROR: Cannot read properties of undefined (reading 'map')"]","0","0","false","false","false","Sat Dec 13 2025 19:13:03 GMT+0900 (Japan Standard Time)"
